,FIRM GROWTH,ANNUAL SALES,INITIAL SALES,CREDIT ACCESS,_2015_a6b,,,,,,,,,,,,,,,,,,,,
,14%,600000000,800000000,Don't know (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-20%,200000000,197500000,1500000000,2,,,,,,,,,,,,,,,,,,,,
,-17%,480000000,400000000,1000000000,1,,,,,,,,,,,,,,,,,,,,
,-17%,284000000,264000000,5000000000,1,,,,,,,,,,,,,,,,,,,,
,91%,25000000,40000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-33%,360000000,Does not apply,350000000,1,,,,,,,,,,,,,,,,,,,,
,33%,300000000,500000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,400%,250000000,300000000,250,2,,,,,,,,,,,,,,,,,,,,
,-1%,300000000,240000000,85,1,,,,,,,,,,,,,,,,,,,,
,-7%,48000000,31000000,200000000,2,,,,,,,,,,,,,,,,,,,,
,8%,15000000,10000000,500,1,,,,,,,,,,,,,,,,,,,,
,61%,135000000,118000000,1000000000,1,,,,,,,,,,,,,,,,,,,,
,10567%,400000000,500000000,5000000000,1,,,,,,,,,,,,,,,,,,,,
,67%,94000000,113000000,2000,1,,,,,,,,,,,,,,,,,,,,
,8%,500000000,600000000,10000000,1,,,,,,,,,,,,,,,,,,,,
,804%,245000000,128000000,300000000,1,,,,,,,,,,,,,,,,,,,,
,16%,600000000,900000000,10,1,,,,,,,,,,,,,,,,,,,,
,18%,40000000,30000000,75000000,1,,,,,,,,,,,,,,,,,,,,
,-12%,50000000,10000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,683%,280000000,282000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-97%,2800000000,3000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-33%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,45%,3360000000,3120000000,500,1,,,,,,,,,,,,,,,,,,,,
,3573%,53000000000,33000000000,40000000,3,,,,,,,,,,,,,,,,,,,,
,20%,2.56E+11,2400000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-7%,1E+12,6E+11,60000000,2,,,,,,,,,,,,,,,,,,,,
,0%,5640000000,5240000000,250,2,,,,,,,,,,,,,,,,,,,,
,-10%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,17%,10200000000,1128000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,25%,Don't know (spontaneous),Don't know (spontaneous),100000000,1,,,,,,,,,,,,,,,,,,,,
,24%,6240000000,5380000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-14%,80000000000,67600000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
